id,comment
Ugyl3Pz-KZEHCZvzl3J4AaABAg,LETS FREAKIN GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥
UgwhkcmbTAsXlOxgGRh4AaABAg,🤯🤯🤯
Ugyaxr66lt9RVaQwxuB4AaABAg,숫자 256
UgxFLmEPDklbT7ifghJ4AaABAg,めちゃくちゃかっこいいやん
Ugxzfv_lB5jJnU0Rd714AaABAg,"I AM SILENT, MA'AM!"
Ugw_7Z6r7ux3IOQ1be54AaABAg,"Ha""ghoul""s Baelz"
UgwemivFzC8Ho8Bd3P54AaABAg,"OMG.......it's completley out of my exepectation...well I already expected that her singing would be awesome....but wow...
If someone asks who do you love the most..I'll say Bae...♥💕♥🐭
((I know I'm being extra...but this is the amount of what I got impressed by her awesome low-key voice♡♡))"
UgwoP082L0NLbpaFQYZ4AaABAg,Ratlord more like RAPLORD
Ugx57HGhSIx2bBtQVsR4AaABAg,"Bae in her pure chaotic energy but became Seiso and Cute after she met Irys
Thank you for the cover. love your voice!"
Ugx6-EylwfJt8RbeE4l4AaABAg,Bea using her deep voice is like two completely different people and I love it
Ugw8J5tqA8XVuKtdWLF4AaABAg,Ah I thought it was Killing strangers xD
UgwO9SyKve7w2iU1uKl4AaABAg,"I think this is one of those songs that you hear, and then after you walk around for a week going ""urusai na"" you realize how much it has stuck on you. Such a good cover Bae!"
UgzthV9wSHCVLc2fF314AaABAg,"Chain Chomp mouths are the best kind of mouth. 

Also great song! I like when you use a deeper voice."
UgzsnHxJ-LGeOWDdYdV4AaABAg,"This song also gives me chills, and that is what I love about it, great work Bae🤘"
UgxK_hqtsyQYU_h2QaF4AaABAg,"This imagery makes me realize on why there is not really much horror games based on the Council members, because of their concepts, there is a lot of potential and this imagery kind of proves it XD"
Ugz6ck8lXc8XlHfIlBp4AaABAg,えっちすぎて無理
UgwXN8VW7eUg4zySybp4AaABAg,Can you put this song on spotify?
UgwXN8VW7eUg4zySybp4AaABAg.9hYd4oXD7zm9hZEmgIWDRc,cover song cannot put on spotify as this song is not hers
UgzVFXK4GGJZcX62Rrd4AaABAg,deep voice is amazing
Ugy4NTSkT1X_s7T33Et4AaABAg,"An amazing cover of one of my favorite vocaloid songs ever, instantly became my favorite hololive cover of all time, love it SO MUCH!"
UgzBGSM9lUQQE0mqe3x4AaABAg,i'm alive but i'm ded
UgxAYxgEsrl-QWaogSR4AaABAg,thank you for this amazing cover bae! can never get enough of your deep voice
UgxO-wGHScHH_G9c2fd4AaABAg,I love Bae and this song... But the illustration reminds me Japanese dark website T_T
UgxA6bkA-uSXET_E1jp4AaABAg,"If someone told me thats Bae i woulnt believe it ahah
Thats a very sensual coming from our lovable but bratty Rat.
Very skilled indeed <3"
UgzfvXgfDkbuNfMvXbF4AaABAg,"Wao, love her voice!!!
Rat during 1300's be like"
Ugyn24jzZQfkVWes0Ip4AaABAg,It’s hard to believe this is the same rat streamer I subbed to
Ugzf8oO61ApsabFmunl4AaABAg,Chaotic Evil Bae is making me feel things. I think the term is scaroused
UgwVjuEe0OMUH9nQc6l4AaABAg,👍
Ugy5KZr618MkU82TKSh4AaABAg,"The Great Horned Rat approves!  For CHAOS!

I really enjoyed your cover, Bae!  Killin' it with your vocals!"
Ugy6J6p14iZvCqEHcVp4AaABAg,Badass Bae <3
UgyzI83cyD7FrvT9Hrh4AaABAg,"Going from the Smol Bae Show and Tell stream to this was a trip. Good job, Bae! Perfect for Halloween week!"
UgzBAyWSdtNkpsbXvyx4AaABAg,god damn bae like wow i'm sweating
UgzZK55MzXHaRDupxUV4AaABAg,I kneel to the rat god
Ugym-0gkRGh2-mG3j9R4AaABAg,"So f-ing good, you did magic with your voice in this cover🔥
Thank you Bae."
UgyNuXcb1BYTl7hvDcZ4AaABAg,pretty damn nice
UgzDu9oQgQMy37Wv6b14AaABAg,選曲がコアでいいw
UgwRsT63G3N1gW681GN4AaABAg,i want an edgy black model for Bae like this now
UgxLfakfagPSnUtX4B14AaABAg,My god this is amazing
UgykcHCEpiRI7Oa0De14AaABAg,urusai na
Ugz3ApHJM-VL1xNtus54AaABAg,かっこいい！！上手い！凄い！！(語彙力）
UgzXhKQteSPtwysyP-Z4AaABAg,this song was great!! goosebumps at the last laugh! amazing vocals!
UgwvheFLYKudb09boVt4AaABAg,"This MV was so spooky, I almost didn't notice that Bae had a visible, lacy, black bra.

Fanartists, take notes."
UgzcG-fZQvESiKLjn2t4AaABAg,Can you get edgier than that?
UgzEr2yARLUwrUtgmrp4AaABAg,Strong Ozen vibes
UgwFZUyv8kvT375Jilt4AaABAg,They don’t call her the god of chaos for nothing.
Ugz_Hw3x3gWn7yiXuiV4AaABAg,Uh... It's not Halloween yet Bae 🤣 🎃
UgyDdWZWBY0tT2kuFTV4AaABAg,sick
UgyEfAE4PuYpcw2phTh4AaABAg,Hint to a new outfit design?!?!?!?!? Ikuzooooo
UgxEpSIRryLolkZne_J4AaABAg,Got damn this slaps hard 🔥🔥🔥 a certified hood classic.
UgwD5yjn70d_kHicYtt4AaABAg,"Damn, Bae."
UgyuAow_7gX4VeHj3rB4AaABAg,Wow ~~~
UgzDRCEBJjo869WFiRZ4AaABAg,I am both scared and amazed. Great song cover for halloween time. Now i cant get out of my head that this might be the other side of our adorkable rat.
Ugya7nFBoJlf_xd0Uex4AaABAg,"The laughing section gave me chills
Amazing work Bae"
UgzPZbJ3qZKhmrh8rtl4AaABAg,:)
Ugx1oZ-ngMI4L7JNv2F4AaABAg,That was cracked
UgwozZM-kNMts_h8fJx4AaABAg,Any chance Bae is also related to Alastor? She just doesn't have the radio voice but has instead a deep voice
UgzLmTC6IBhJXI5octh4AaABAg,you never cease to amaze
Ugwz32pZIK9Gy04OaUl4AaABAg,The modulated laughing at the end was a nice touch.
UgwbCg5XWfEE7dvwnMN4AaABAg,HOLY FK HOW DID I JUST NOTICE THIS- I'VE BEEN VIBING TO SHIMON'S SONGS RECENTLY. THANKS FOR THE FOOD BAE TSKRRRRRR
UgzzcSlwdv1kdYEG35l4AaABAg,Nice😎
UgyIX0gS_9WyVdw49ah4AaABAg,1:31 This should've been a growl hoooly. That would've been amazing.
UgxF1qJ74LCXwgDtjBR4AaABAg,the thumbnail kinda looks like muzan
UgybfSa44DOD9B-HJmZ4AaABAg,Chaos Incarnate 
UgyQes3soU_5Hrvkp7p4AaABAg,God I love crazy girls
UgwZgyaQA7_9lIEAemp4AaABAg,"Oh nice. Cosmic-made horrors beyond my comprehension. 

Memes aside, fantastic job."
UgzbFllTbOSC2tmqJtV4AaABAg,You can keep doing this to me. It's so damn good 😍
Ugw74Af2lMZxQPSrd-B4AaABAg,"Strangly enough, I felt brainwashed from Bae when I relisten to this song over and over again , and I kinda like it! Release That CHAOS inside of you, Bae!!"
UgwrAvyfcYsJP_By0xZ4AaABAg,I don't know how to describe how AWEOSME this is!!!!
UgxDdZtAuabegNLeQrp4AaABAg,holly banger 🔥🔥🔥
Ugx6xlZ5A4tYvcp0cMl4AaABAg,"This looks like what that Undertale alternate universe artist would make of Bae.

And I ain't saying it's bad, I'm all for it"
UgwxZS2B39M6z2qkxWJ4AaABAg,こわいね。。。
UgyBRPAhT20Si8eN1KZ4AaABAg,"Love this song so much, never expected a holomem to cover it but I'm so glad you did. You absolutely nailed it, fits perfectly with your voice and the artwork and MV are the icing on the cake. Amazing stuff."
UgwLUs5i0KvNo18l_Xx4AaABAg,oohh biblically accurate agent of chaos! Awesome MV and cover.
UgySyPf-jaGcFQ7nNTh4AaABAg,That's strange
UgxM-_qcPgzMNSXLsKZ4AaABAg,I did not expect this but I sure am pleased
UgzRJgBVKztcV1_RpWl4AaABAg,Love it ❤️
UgzvrrvXCot3QvQj3Z54AaABAg,nice
UgyVvxGkTd_zsGf9YLR4AaABAg,*Amazing* 💕💋😍
UgwUZVJr6oisa3CC7k94AaABAg,The deep vocals make this sound all the more awesome and sexy. Love it a lot!  👏🏼❤👏🏼❤
Ugyjye9jCSMXqnViuht4AaABAg,Strange? All looks normal for me..
UgxM5gJ-0ihNXQXZPVV4AaABAg,"sheeeesh, this is fireeeeeeeeeeeeeeeeee. Ty for making such epic covers"
UgzU_uiolfpKSgFDOMp4AaABAg,"Haachama is starting to have some competition over the most horrific member. For now the second place is highly contested by Bae, Suisei, Korone, Sora and.... *reads script* Ina? What is Ina even doing here? Ina is just a normal human. No no no, Amelia Watson should be here, not Ina. Hell, if Ina is here, we might as well include Kaela as well, for those who enter her MC house get ultra scared of the resident world grinder..."
UgwtSaOrpWoR9YJRiqt4AaABAg,wow this is so cool
UgxsDXcbDYOWY-D66nN4AaABAg,Damn what a banger. And such a deep creepy atmosphere. Wasn't expecting it from the our scaredy rat. Amazing cover. Bae's deep voice is something to be treasured. Tskr
UgyoeYsOz2enD46axCx4AaABAg,With this music introduction i was expecting some very angry rap or growl i don't know xD. In another line reality maybe lel
Ugxg5ATMGCbtXqQY5XZ4AaABAg,Bae doing a deep singing voice... sooo scintillating.
Ugx49QtrfGYf3D8zP654AaABAg,this Bae is the type to appear in someone's nightmares and the way she speaks makes u think there is like a crazed version of yourself in your head. Nice job
Ugxh5mGTKG8fLHQTdGx4AaABAg,"The dark side of Bae is a great success in this cover. It fits perfectly with the artwork, man i'm so down bad now."
UgyxiQNk_UOS1__Drg94AaABAg,Her true form showing through?¿
Ugy6dtlinI1eWwiaORR4AaABAg,"This gonna blow up in 3 days, just watch"
UgxL03WE-_ZrS32AsOt4AaABAg,"Rock Star Voice.
Would love to hear her sing Magia Quattro with Cali.."
UgztmujEyCiM3TTBnN94AaABAg,하지만 귀엽네😂
UgwPNeDImfTs5RKypfN4AaABAg,💖🙌🏻
UgzHv6zsv597_RfpL8F4AaABAg,Omg that was great! You should cover Lucifer too
UgzA4xfzOYg8yMdZ52B4AaABAg,Chills!! Literal chills!!!
UgxPHtwkqaNpKkFWCft4AaABAg,Chaos mommy
UgzM36HAvVQPrCk_-AB4AaABAg,🤩
